avg_bits_per_edge,avg_edge_f1,avg_edges,avg_exact_reconstruction,avg_executable,avg_lossless_expand_match,avg_macro_token_share,avg_nodes,avg_original_tokens,avg_raw_edge_f1,avg_strict_exact_reconstruction,avg_structure_edge_f1,avg_tokens,avg_vocab_proxy,dataset,failed_graphs,graphs,mode,split,test_graphs,train_graphs,val_graphs
3.404743917518104,1.0,28.505,1.0,1.0,1.0,0.02883372591460827,26.735,34.06,0.5391702612425245,0.0,1.0,11.135,10.61,OGBG-MOLHIV,0,200,motif_hybrid,train,,,
17.730729230208972,1.0,34.1,1.0,1.0,1.0,0.0,31.58,50.16,0.5229326514686445,0.0,1.0,50.16,20.04,OGBG-MOLHIV,0,50,original,val,,,
5.510506726213002,1.0,34.1,1.0,1.0,1.0,0.0,31.58,50.16,0.5229326514686445,0.0,1.0,18.28,15.46,OGBG-MOLHIV,0,50,compact,val,,,
4.783552010045095,1.0,34.1,1.0,1.0,1.0,0.0,31.58,50.16,0.5229326514686445,0.0,1.0,18.28,15.46,OGBG-MOLHIV,0,50,entropy,val,,,
2.2483312483629643,1.0,34.1,1.0,1.0,1.0,0.26905427905427903,31.58,50.16,0.5229326514686445,0.0,1.0,7.46,7.04,OGBG-MOLHIV,0,50,motif_macro,val,,,
3.550379370451471,1.0,34.1,1.0,1.0,1.0,0.26905427905427903,31.58,50.16,0.5229326514686445,0.0,1.0,7.46,7.04,OGBG-MOLHIV,0,50,motif_entropy,val,,,
3.3988491256861595,1.0,34.1,1.0,1.0,1.0,0.14711819564451142,31.58,50.16,0.5229326514686445,0.0,1.0,11.78,10.54,OGBG-MOLHIV,0,50,motif_hybrid,val,,,
17.335499706167862,1.0,27.6375,1.0,1.0,1.0,0.0,25.05,43.3375,0.5087405649979939,0.0,1.0,43.3375,20.475,OGBG-MOLHIV,0,80,original,test,,,
5.892160435318732,1.0,27.6375,1.0,1.0,1.0,0.0,25.05,43.3375,0.5087405649979939,0.0,1.0,16.75,14.7875,OGBG-MOLHIV,0,80,compact,test,,,
5.094473325640661,1.0,27.6375,1.0,1.0,1.0,0.0,25.05,43.3375,0.5087405649979939,0.0,1.0,16.75,14.7875,OGBG-MOLHIV,0,80,entropy,test,,,
2.4817872462803985,1.0,27.6375,1.0,1.0,1.0,0.24327301171051172,25.05,43.3375,0.5087405649979939,0.0,1.0,7.125,6.8375,OGBG-MOLHIV,0,80,motif_macro,test,,,
